measure,canonical,package,result,rule,evidence
Normalized pages,357,357,PASS,Exact integer equality,Canonical acceptance dataset
Aggregated findings,5,5,PASS,Exact integer equality,Canonical acceptance dataset
Canonical actions,16,16,PASS,Exact integer equality,Canonical acceptance dataset
Content assets,6,6,PASS,Exact integer equality,Canonical acceptance dataset
Duplicate normalized pages,0,0,PASS,Exact integer equality,Canonical acceptance dataset
Duplicate observations collapsed,5,5,PASS,Exact integer equality,Canonical acceptance dataset
